title,date,paragraph,,,,,,
Pennsylvania Supreme Court Allows Provisional Votes After Mail Ballot Rejections,2024-10-24T01:23:14+0000,The Pennsylvania Supreme Court ruled on Wednesday that voters who submit mail-in ballots that are rejected for not following procedural directions can still cast provisional ballots.,,,,,,
What?™s Stopping a Deal in Gaza?,2024-08-16T10:39:15+0000,"For weeks, the White House said the stars were aligned for a cease-fire agreement that would free the hostages held in Gaza. The framework of a deal first announced by President Biden has been in place since July. Since then, a phalanx of American officials has traveled frequently to the region, pushing Israel and Hamas to sign on. So far, they have failed.",,,,,,
"Trump Courts Christian Voters, Days After Vulgar Remarks at a Rally",2024-10-22T03:31:12+0000,"Former President Donald J. Trump on Monday used the language of persecution to make a sweeping claim that only he could protect Christian voters, darkly warning religious communities that they would come under legal, cultural, political and global assault if he lost in November.",,,,,,
?˜Room Next Door??Claims Top Prize at Venice Film Festival,2024-09-07T20:43:13+0000,"?œThe Room Next Door,??directed by Pedro AlmodÃ³var, was awarded the Golden Lion for best film at the 81st Venice International Film Festival on Saturday by a competition jury led by Isabelle Huppert. In the film, a journalist with cancer (Tilda Swinton) asks an old friend, played by Julianne Moore, to stay with her when she decides to take her own life.",,,,,,
"It?™s This Man?™s, Man?™s, Man?™s World",2024-11-06T10:37:25+0000,I can no longer count the number of times I?™ve counted out Donald Trump.,,,,,,
The Stakes on Immigration,2024-09-19T10:34:55+0000,"Nine years after Donald Trump?™s rise in American politics, the stakes on immigration may seem clear enough. Trump wants a harsh crackdown on illegal immigration, with a border wall and mass deportations. Kamala Harris wants an approach that balances border security with human rights considerations.",,,,,,
Kamala Harris?™s Epic Fail in Puerto Rico,2024-03-28T09:04:45+0000,"Kamala Harris arrived in San Juan, P.R., last Friday for her first official visit as vice president. The trip was meant, in part, to highlight the Biden administration?™s dedication to aiding the island?™s recovery. What unfolded instead was a revealing tableau of Democrats??missteps and misjudgments.",,,,,,
Six Takeaways From the First Presidential Debate,2024-06-28T04:24:19+0000,"President Biden struggled through his first debate of the 2024 campaign against Donald J. Trump, meandering and mumbling through answers as the former president pressed his case for a second term with limited resistance from his rival.",,,,,,
Watching the Protests From Israel,2024-05-07T09:03:47+0000,"Ultimately, the Gaza war protests sweeping campuses are about influencing Israeli politics. The protesters want to use economic divestment, American pressure and policy, and a broad sense of international outrage to change the decisions being made by Israeli leaders.",,,,,,
Tailgating in Wisconsin With the Bros Trump Needs,2024-11-02T10:00:19+0000,One phenomenon that?™s been getting a lot of attention during this election is the growing gender gap among young people.,,,,,,
"Buttigieg Warns Trump-Panicked Democrats, ?˜We Cannot Be Mesmerized??,2024-11-21T21:34:11+0000,As Democrats in Washington and beyond absorb the chaotic dawn of a new Trump administration", one of the party?™s ambitious," young leaders is cautioning them to remain calm.""",,,,,,
"In a Tight Presidential Race, Third-Party Candidates Present a Wild Card",2024-10-14T09:03:26+0000,"With a month to go before what is widely expected to be an extraordinarily close election, an extra element of unpredictability looms: In every battleground state, there is at least one third-party or independent presidential candidate on the ballot.",,,,,,
What Across-the-Board Tariffs Could Mean for the Global Economy,2024-08-27T15:35:31+0000,"Former President Donald J. Trump blames the global trading system for inflicting a long list of ills on the American economy including lost jobs, closed foreign markets and an overvalued dollar.",,,,,,
Thursday Briefing,2024-10-10T05:01:05+0000,"Hurricane Milton crashed ashore Florida?™s Gulf Coast last night, knocking down trees, ravaging homes and leaving hundreds of thousands without power. The Category 3 hurricane was the second powerful hurricane to pound the region in less than two weeks. The storm battered the state for much of the day, with heavy winds, pelting rain and a spate of tornadoes thrashing cities far from its center. Here?™s the latest.",,,,,,
What I Truly Expect if an Unconstrained Trump Retakes Power,2024-11-01T09:05:00+0000,"Lately, I?™ve seen conservatives taunting liberals online by asking why, if we really think America could be on the verge of fascism, our bags aren?™t packed. ?œIt?™s tempting to begin trolling my anti-Trump friends by asking if they are liquefying assets, getting passports in order, etc.???Scott McConnell, a founding editor of The American Conservative, posted on X. National Review?™s Michael Brendan Dougherty said something similarly snarky: ?œSo fascism is here and you?™re not doing what people did when fascism showed up, which is contemplating emigration in terror or joining armed resistance.??
Two ABC News Anchors Will Steer the Harris-Trump Debate,2024-09-10T19:58:34+0000,ABC News", the sponsor of Tuesday?™s debate, wants the evening?™s stars to be the candidates onstage," Vice President Kamala Harris and former President Donald J. Trump.""",,,
Howard University Votes to Revoke Sean Combs?™s Honorary Degree,2024-06-08T19:33:42+0000,"Howard University announced on Friday that it would revoke an honorary degree that was awarded to the hip-hop mogul Sean ?œDiddy??Combs in 2014. The decision comes in the wake of Mr. Combs?™s admission that he physically abused a former girlfriend, in addition to a slew of other allegations of abuse that have surfaced in recent months.",,,,,,
The Talented Democrats Who Aren?™t Running for President,2024-07-09T09:04:46+0000,"At a BBQ for Biden-Harris event, a small crowd of Democratic voters gathered recently for a quiet lunch in the parking lot of a Detroit church, where a swift Michigan wind carried away their polite applause.",,,,,,
America?™s Unstable Politics,2024-07-19T10:54:54+0000,American politics was more stable for the past half-century than it had been for most of the country?™s history. Incumbent presidents often won re-election. No major political figure was assassinated. The two parties??basic ideologies and coalitions remained similar.,,,,,,
Thursday Briefing,2024-07-04T04:19:11+0000,"Britain votes today after a campaign that featured the same ingredients as other elections across Europe and the Americas: frustrated voters eager to reject the status quo, a deeply discredited government and a dash of populism.",,,,,,
"Energized but Uneasy, the Campaigns Make Frantic Final Pushes",2024-11-04T19:37:39+0000,"Michael Magnanti listened in his church in Oxford, N.C., on Sunday morning as the pastor asked whether anyone had an announcement for the congregation.",,,,,,
Behind the Republican Effort to Win Over Black Men,2024-06-10T18:50:11+0000,Two Black Republican House members and Trump surrogates reserved a cigar bar near downtown Philadelphia last week and invited conservative organizers and Trump-curious Black voters to smoke and sip cognac.,,,,,,
Why Are People So Down About the Economy? Theories Abound.,2024-05-30T14:29:55+0000,"The U.S. economy has been an enigma over the past few years. The job market is booming, and consumers are still spending, which is usually a sign of optimism. But if you ask Americans, many will tell you that they feel bad about the economy and are unhappy about President Biden?™s economic record.",,,,,,
?˜S.N.L.??Picks Maya Rudolph and Jim Gaffigan to Play Kamala Harris and Tim Walz,2024-09-29T04:37:21+0000,?œSaturday Night Live??dug deep into its contact list of celebrity alumni and friends in the comedy world as it kicked off its 50th season with an opening sketch that featured Maya Rudolph?™s anticipated return as Vice President Kamala Harris.,,,,,,
Republicans Seize on False Theories About Immigrant Voting,2024-09-05T09:05:09+0000,"In late July, a group of Republican activists met on a Zoom call to discuss preparations for the November election. The topic was how to keep undocumented immigrants from voting in November, a problem they claim, inaccurately, to be a looming threat to a fair election.",,,,,,
Washington Post Says It Will Stop Endorsing Presidential Candidates,2024-10-25T16:28:33+0000,"A debate inside The Washington Post continued for days among its top leaders: Should it make an endorsement in the presidential race, continuing a decades-long tradition?In the end, Jeff Bezos, the paper?™s billionaire owner, decided that the answer was no.On Friday, Will Lewis, The Post?™s chief executive, told the newsroom that the paper would no longer endorse presidential candidates. His announcement came after the debate and decision by Mr. Bezos, a person with knowledge of the talks said. By that time, the paper?™s opinion section had drafted an endorsement of Vice President Kamala Harris, according to four people with knowledge of the process.",,,,,,
?˜Trump Brought Darkness; Harris Brought Light?? 14 Writers on Who Won the Presidential Debate,2024-09-11T09:03:31+0000,"Times Opinion asked 14 of our columnists and contributors to watch the presidential debate on Tuesday night and assess who won and who lost. We also asked them to weigh in on the quality of the debate. Were the candidates inspiring, or was their face-off a depressing sign of everything that?™s wrong with American politics?",,,,,,
"Four Writers on Kamala Harris, Hillary Clinton and How to Win the White House",2024-08-19T21:00:36+0000,"Patrick Healy: The Democratic convention will be bookended by two historic figures: Hillary Clinton, the first woman nominated for president of a major party, will speak on Monday night, and Kamala Harris on Thursday night will become the second woman nominated to lead America. Maureen, Michelle, Frank: The four of us covered Clinton over the years, and now write about Harris. Clinton and Harris are approaching history pretty differently. For one thing, Clinton leaned into gender in 2016, talking about breaking the glass ceiling. And she won a big vote from women, but her percentage of the women?™s vote was a little less than Barack Obama?™s ??and she had a slightly wider gender gap. Maureen, how do Clinton and Harris differ in how they deal with gender?",,,,,,
"If Harris Wins, Here?™s Why",2024-11-04T22:22:58+0000,"This was always a challenging race for Vice President Kamala Harris. She started late, and ran against a tough opponent in a bleak environment. She faced an electorate hungry for change, upset with the direction of the country and the economy.",,,,,,
Harris?™s Combative Debate Style Will Get Its Biggest Test Against Trump,2024-09-07T09:04:32+0000,Few of the people gathered in the San Francisco church knew quite what to expect from Kamala Harris.,,,,,,
Harris Promises to Chart ?˜New Way Forward??as She Accepts Nomination,2024-08-23T03:27:09+0000,"Vice President Kamala Harris used her acceptance speech at the Democratic National Convention on Thursday to present herself as a pragmatic leader who could unite all Americans behind a ?œnew way forward,??painting her opponent, former President Donald J. Trump, as a dangerous and ?œunserious man??whose election would alter the foundation of American democracy.",,,,,,
I?™ve Studied the Polls. Here?™s Why Harris Isn?™t Running Away With It.,2024-09-17T09:03:58+0000,"If you?™re a Kamala Harris supporter, you probably felt pretty good about last week. With Donald Trump?™s constant bait-taking during the debate and the endorsement by Taylor Swift, with less than two months until Election Day, on the surface, things have started to look like they?™re falling into place for a Harris win. On Friday, I was a guest on ?œReal Time With Bill Maher,??and Mr. Maher, who has never been one to underestimate Mr. Trump?™s appeal, declared that he thinks it?™s finally over politically for the former president.",,,,,,
"Best, Worst and Most Surprising Lines From the Presidential Debate",2024-09-11T05:08:10+0000,"In the 105-minute titanic showdown between Vice President Kamala Harris and former President Donald J. Trump on Tuesday in Philadelphia, there were pointed barbs, missed opportunities and puzzling tangents ??and a worrying number of animal mentions.",,,,,,
In the Front Row at a MAGA Fashion Show,2024-09-18T21:48:09+0000,"On Tuesday, about a week after New York Fashion Week ended and after many in the industry had traveled across the Atlantic Ocean for shows in Europe, a crowd of roughly 100 people gathered for The America First Patriotic Designer Showcase, a conservative-themed fashion show held at a warehouse tucked amid clusters of suburban office parks on Long Island.",,,,,,
"Scenes From America on the Edge, Partying and Despairing",2024-11-09T12:00:33+0000,"The election results came a lot faster than most people expected. On Tuesday it was just voting and waiting and anxiety and an inner sense that anything was possible and then by Wednesday morning, one answer: Donald Trump had shifted the country toward him in a decisive win.",,,,,,
"Biden Is Beating Trump in Money Wars, Though Not Overwhelmingly",2024-02-01T05:43:39+0000,"President Biden held a notable but not overwhelming financial advantage at the end of last year over his chief Republican rival, former President Donald J. Trump, an encouraging sign for an incumbent struggling to generate robust enthusiasm among the Democratic grass roots.",,,,,,
"Pariah, Felon, President-Elect: How Trump Fought His Way Back to Power",2024-11-06T10:47:32+0000,"By late January 2021, just days into Donald J. Trump?™s unhappy new life as a former president, his world had shrunk to a size he could not abide.",,,,,,
Has the Spread of Tipping Reached Its Limit? Don?™t Count on It.,2024-08-31T13:45:24+0000,"Americans are being asked to tip more often and in more places than ever before: at fast food counters and corner stores, at auto garages and carwashes, even at self-checkout kiosks. That has rankled many customers and divided both employers and tipped workers.",,,,,,
Donald Trump Will Never Be Done With New York,2024-10-27T09:04:12+0000,"The seven-decade marriage between Donald J. Trump and New York City, like all of his most volatile relationships, was never going to end quietly.",,,,,,
"Harris?™s Rise Has Unsettled Trump, Who Is Struggling to Focus, Supporters Say",2024-08-08T09:05:59+0000,Former President Donald J. Trump dialed into ?œFox & Friends??on Wednesday morning for his first interview since Vice President Kamala Harris picked Gov. Tim Walz of Minnesota as her running mate.,,,,,,
Angela Alsobrooks Wants to Be Maryland?™s First Black Senator,2024-05-15T02:05:24+0000,"Angela Alsobrooks, Maryland?™s newly chosen Democratic nominee for Senate, is familiar with firsts.",,,,,,
Newsom Vetoes Home-Buying Assistance for Undocumented Immigrants,2024-09-06T19:48:35+0000,"Gov. Gavin Newsom of California on Friday vetoed a bill that would have helped some undocumented immigrants buy homes in the state, moving quickly to extinguish a potential flashpoint in the presidential election.",,,,,,
"Veto Power in the Balance, Nevada?™s G.O.P. Governor Keeps Trump at Arm?™s Length",2024-11-01T16:48:23+0000,"Joe Lombardo, Nevada?™s Republican governor, is doing just about everything he can to stop Democrats from gaining the ability to sharply curtail his power this November.",,,,,,
"The Polls Show a Dead Heat, but They Don?™t All Tell the Same Story",2024-10-30T09:03:58+0000,"I have to admit, I laughed when I saw that Donald Trump and Kamala Harris were tied at 48 to 48 among likely voters in the final New York Times/Siena College national poll. Despite untold sums spent on advertising, a cavalcade of wild events ??from felony convictions to assassination attempts to the incumbent president withdrawing from the race ??here we sit, right on a razor?™s edge.",,,,,,
"At the Kenya State Dinner, Jill Biden Is True Blue",2024-05-24T12:44:37+0000,"There are few moments of political theater as grand as a state dinner, essentially a pantomime of diplomacy and national pride from the set to the staging to the scripts ??and the costumes. In that drama, the first lady is cast as both hostess and symbol, her dress a part of the decorative storytelling of the night.",,,,,,
Morning TV Hosts Digest Trump Victory,2024-11-06T13:55:56+0000,"The tone was triumphant early Wednesday morning on ?œFox and Friends,??in the hours after the Fox News network called the presidential race for Donald J. Trump.",,,,,,
The Trump Campaign?™s Theory of Victory,2024-07-18T09:02:55+0000,The Trump campaign isn?™t just expecting to win this election; it?™s expecting to win it in a landslide. And top Trump campaign officials were feeling that confident even before Joe Biden?™s disastrous debate performance. So what?™s their strategy to achieve the blowout they?™re imagining? And is their confidence justified?,,,,,,
PBS?™s Woodruff Calls Comments Suggesting Trump and Netanyahu Discussed Cease-Fire a ?˜Mistake??2024-08-21T21:04:44+0000,The veteran PBS correspondent Judy Woodruff on Wednesday apologized for on-air comments suggesting there had been a phone call between former President Donald J. Trump and Prime Minister Benjamin Netanyahu of Israel to discuss a cease-fire deal. Aides to both men denied that such a call had taken place.,,,,,,,
The Evening: Hundreds of Pagers Explode in Lebanon,2024-09-17T22:12:38+0000,Hundreds of pagers blew up at the same time across Lebanon today in an apparent operation against Hezbollah.,,,,,,
"In Venice, George Clooney Talks President Biden and American Politics",2024-09-01T16:36:05+0000,"Midway through a Venice news conference for the crime caper ?œWolfs,??one reporter told George Clooney that she would ask the question on everyone?™s minds.",,,,,,
MoveOn Will Spend $32 Million to Back Biden and Other Democrats,2024-01-26T10:01:57+0000,"The liberal activist group MoveOn will spend more than $32 million this year to back President Biden and Democratic candidates for the House and Senate, the organization?™s leader said this week.",,,,,,
Criticizing a Conservative?™s Advice for Trump,2024-08-28T16:43:05+0000,To the Editor:,,,,,,
"After Israel Aid Vote, Pocan Seeks to Show Biden Liberal Dismay on Gaza",2024-04-27T09:04:46+0000,"During a town hall-style meeting a short drive from her home in rural southwestern Wisconsin, Elizabeth Humphries asked her congressman how a 66-year-old woman like her could get the message to President Biden that she and her peers are deeply dissatisfied with his administration?™s approach to Israel?™s war in Gaza.",,,,,,
Harris Hits Core Campaign Themes in Emotional Forum With Oprah Winfrey,2024-09-20T04:51:21+0000,"Vice President Kamala Harris harnessed the star power of one of her most powerful surrogates ??and one of America?™s foremost interviewers ??to lay out a pitch for her campaign on Thursday, as she confronted a range of pressing issues during a livestream forum with Oprah Winfrey.",,,,,,
Tim Walz Has Championed Climate as Governor,2024-08-06T13:15:51+0000,"Over the course of his two terms in office, Gov. Tim Walz of Minnesota has quietly emerged as one of the nation?™s most forceful advocates for tackling climate change.",,,,,,
Who Won the Debate? A Sharp Harris Rattled Trump,2024-09-11T05:08:10+0000,"In the first, and perhaps only, presidential debate between Vice President Kamala Harris and former President Donald J. Trump, the two candidates verbally sparred in often deeply personal terms, with policy arguments largely being overshadowed by fiery exchanges over character and crowd size.",,,,,,
"Kahil El?™Zabar, Spiritual Jazz?™s Dapper Bandleader, Keeps Pushing Ahead",2024-03-05T10:03:56+0000,"Upon first glance, you might not think Kahil El?™Zabar, 70, is a spiritual jazz musician. Tall and sprightly with taut skin and a thick mustache, wearing dark sunglasses and a stylish black suit on a January afternoon, he looked more like a fashion model or a recently retired athlete. That?™s not to say avant-jazz guys can?™t be chic, but rarely do they look this dapper.",,,,,,
"Kamala Harris Hires Top Obama Advisers, Building Out Campaign",2024-08-02T18:31:08+0000,"Vice President Kamala Harris, who formally won enough delegates to secure the Democratic Party nomination on Friday, is remaking a campaign hierarchy originally built to re-elect President Biden by adding several new advisers to the top ranks of her staff, including David Plouffe, who managed Barack Obama?™s first presidential run.",,,,,,
How Kamala Harris Took Command of the Democratic Party in 48 Hours,2024-07-24T18:04:57+0000,"Follow the latest news about the 2024 election, and the Trump and Harris campaigns.",,,,,,
?˜I Was a Childless Cat Lady?? Women Respond to JD Vance,2024-07-30T15:09:26+0000,To the Editor:,,,,,,
Willie Brown to Donald Trump: Mention My Name Again and Get Sued,2024-08-18T00:14:37+0000,"Willie Brown, the former mayor of San Francisco, had a message for former President Donald J. Trump on Saturday afternoon: Keep my name out of your mouth or get sued.",,,,,,
Harris Drops the F-Bomb on CNN?™s Town Hall,2024-10-24T09:05:35+0000,"Kamala Harris came out strong on Wednesday night in her CNN town hall with Anderson Cooper and an audience of undecided voters in Pennsylvania?™s Delaware County. She began by citing the testimony of Donald Trump?™s former chief of staff, John Kelly, along with his national security advisers, his secretaries of defense, his chairman of the Joint Chiefs of Staff and his vice president ??all of whom have spoken of his unfitness to serve as president.",,,,,,
Corporate America Hedges on Trump 2.0,2024-10-28T12:41:29+0000,"As the presidential race nears its end next week, the most notable public sound from many C.E.O.s and businesses on the election has been silence ??and Donald Trump?™s camp is increasingly interpreting that as a sign that corporate America may be preparing for him to win.",,,,,,
Trump?™s Win Terrifies Me. Why Don?™t Boys My Age Care?,2024-11-19T10:05:02+0000,"Exit polls from the presidential election reveal a divided country: Women tended to vote for Kamala Harris; men, for Donald Trump. And that divide may extend to citizens who aren?™t yet of voting age. Naomi Beinart, a 16-year-old junior, witnessed it at her school in the days after the election. In this episode, Beinart says that while her fellow female students fear for the future, ?œthis election didn?™t seem to measurably change anything for the boys around me, whether their parents supported Mr. Trump or not.??
Trump Contorts Himself on Abortion in Search of Political Gain,2024-08-31T09:04:42+0000,At the age of 53", in a 1999 interview on NBC?™s ?œMeet the Press,??Donald J. Trump described himself as ?œvery pro-choice.??,,,,
Democrats Had a Theory of the Election. They Were Wrong.,2024-11-07T10:02:43+0000,"The New York Times Opinion columnists Lydia Polgreen and Tressie McMillan Cottom discuss what was revealed about America on Tuesday, why the Democrats failed and what individuals can do about the future.",,,,,,
?˜Saturday Night Live??Wishes You a Happy Mother?™s Day,2024-05-12T06:07:23+0000,"Sorry, dads: Because your holiday doesn?™t come until June, when ?œSaturday Night Live??is in reruns, you don?™t get anything special from ?œS.N.L.??But moms, since Mother?™s Day arrives the morning after the second-to-last live episode of the season ??when everyone at the show has an eye on the door and is saving those last few drops of topical content for the finale ??you get a whole brunch-load of ?œS.N.L.??sketches dedicated to motherhood, beginning with a now-traditional segment in which the cast members trade jokes with their real-life mothers.",,,,,,
?˜Doctor Who??Episode 7 Recap: God of All Gods,2024-06-15T00:00:10+0000,"Over six decades, ?œDoctor Who??has introduced many villains ??including big hitters like the Cybermen (first introduced in 1966) and memorable one-off monsters like the gas-mask wearing Empty Child (2005) ??as the Doctor?™s most fearsome enemy.",,,,,,
"Putin Lavishes Praise on Trump, Saying Russia Is ?˜Open??to Restored Ties",2024-11-07T10:30:12+0000,The Kremlin tried and failed for four years to turn President Donald J. Trump?™s friendly rhetoric into friendly policy.,,,,,,
"Kamala Harris Visits Abortion Clinic, in Historic First",2024-03-14T01:40:38+0000,"Vice President Kamala Harris met with abortion providers and staff members on Thursday in the Twin Cities, a visit that is believed to be the first stop by a president or vice president to an abortion clinic.",,,,,,
"Walz Grew Up in Rural Nebraska, Where Finding a Date ?˜Was Kind of a Problem??,2024-08-06T15:39:56+0000,Vice President Kamala Harris?™s running mate", Tim Walz, wasn?™t always a Minnesotan. He was born in rural Nebraska in the small community of West Point, a town of roughly 3,"500 people 60 miles northwest of Omaha.""",,,,
"U.S. Destroyers Helped Israel Intercept Iran?™s Missiles, Biden Says",2024-10-01T21:14:03+0000,"President Biden said on Tuesday afternoon that U.S. forces helped Israel shoot down waves of incoming missiles from an Iranian attack, rendering the assault ?œdefeated and ineffective??in a show of solidarity between two allies whose relations have been deeply strained by the escalating conflicts in the Middle East.",,,,,,
How to Follow The Times?™s Election Results and Coverage,2024-11-05T10:05:06+0000,"Election Day is here. Vice President Kamala Harris and former President Donald J. Trump have been deadlocked in the polls, teeing up what is likely to be a nail-biter of a race to keep tabs on once the polls start closing.",,,,,,
